country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,beer_liters_of_pure_alc,spirit_liters_of_pure_alc,wine_liters_of_pure_alc
South Korea,140,16,9,9.8,2.48,0.28,0.16
Moldova,109,226,18,6.3,1.93,4.01,0.32
Romania,297,122,167,10.4,5.27,2.16,2.96
Russian Federation,247,326,73,11.5,4.38,5.78,1.30
Rwanda,43,2,0,6.8,0.76,0.04,0.00
St. Kitts & Nevis,194,205,32,7.7,3.44,3.64,0.57
St. Lucia,171,315,71,10.1,3.03,5.59,1.26
St. Vincent & the Grenadines,120,221,11,6.3,2.13,3.92,0.20
Samoa,105,18,24,2.6,1.86,0.32,0.43
San Marino,0,0,0,0,0.00,0.00,0.00
Sao Tome & Principe,56,38,140,4.2,0.99,0.67,2.48
Saudi Arabia,0,5,0,0.1,0.00,0.09,0.00
Senegal,9,1,7,0.3,0.16,0.02,0.12
Serbia,283,131,127,9.6,5.02,2.32,2.25
Seychelles,157,25,51,4.1,2.79,0.44,0.90
Sierra Leone,25,3,2,6.7,0.44,0.05,0.04
Singapore,60,12,11,1.5,1.06,0.21,0.20
Slovakia,196,293,116,11.4,3.48,5.20,2.06
Slovenia,270,51,276,10.6,4.79,0.90,4.90
Solomon Islands,56,11,1,1.2,0.99,0.20,0.02
Somalia,0,0,0,0,0.00,0.00,0.00
South Africa,225,76,81,8.2,3.99,1.35,1.44
Spain,284,157,112,10,5.04,2.79,1.99
Sri Lanka,16,104,0,2.2,0.28,1.85,0.00
Sudan,8,13,0,1.7,0.14,0.23,0.00
Suriname,128,178,7,5.6,2.27,3.16,0.12
Swaziland,90,2,2,4.7,1.60,0.04,0.04
Sweden,152,60,186,7.2,2.70,1.06,3.30
Switzerland,185,100,280,10.2,3.28,1.77,4.97
Syria,5,35,16,1,0.09,0.62,0.28
Tajikistan,2,15,0,0.3,0.04,0.27,0.00
Thailand,99,258,1,6.4,1.76,4.58,0.02
Macedonia,106,27,86,3.9,1.88,0.48,1.53
Timor-Leste,1,1,4,0.1,0.02,0.02,0.07
Togo,36,2,19,1.3,0.64,0.04,0.34
Tonga,36,21,5,1.1,0.64,0.37,0.09
Trinidad & Tobago,197,156,7,6.4,3.50,2.77,0.12
Tunisia,51,3,20,1.3,0.90,0.05,0.35
Turkey,51,22,7,1.4,0.90,0.39,0.12
Turkmenistan,19,71,32,2.2,0.34,1.26,0.57
Tuvalu,6,41,9,1,0.11,0.73,0.16
Uganda,45,9,0,8.3,0.80,0.16,0.00
Ukraine,206,237,45,8.9,3.66,4.21,0.80
United Arab Emirates,16,135,5,2.8,0.28,2.40,0.09
United Kingdom,219,126,195,10.4,3.89,2.24,3.46
Tanzania,36,6,1,5.7,0.64,0.11,0.02
USA,249,158,84,8.7,4.42,2.80,1.49
Uruguay,115,35,220,6.6,2.04,0.62,3.90
Uzbekistan,25,101,8,2.4,0.44,1.79,0.14
Vanuatu,21,18,11,0.9,0.37,0.32,0.20
Venezuela,333,100,3,7.7,5.91,1.77,0.05
Vietnam,111,2,1,2,1.97,0.04,0.02
Yemen,6,0,0,0.1,0.11,0.00,0.00
Zambia,32,19,4,2.5,0.57,0.34,0.07
Zimbabwe,64,18,4,4.7,1.14,0.32,0.07
